Transaction_ID,Items
1,"Pasta, Cookies, Eggs, Cereal, Bananas"
2,"Eggs, Juice, Chicken, Cookies"
3,"Cheese, Chicken, Bananas, Butter"
4,"Chips, Bread, Fish"
5,"Butter, Milk, Cookies, Beef, Yogurt, Juice"
6,"Bread, Yogurt, Tomatoes, Cereal, Milk, Shampoo"
7,"Cheese, Apples, Tomatoes, Bananas, Cookies"
8,"Fish, Milk"
9,"Chips, Beef"
10,"Cheese, Shampoo, Chicken"
11,"Juice, Cookies, Chips"
12,"Butter, Pasta, Tomatoes"
13,"Beef, Bread, Milk, Eggs, Pasta, Cereal"
14,"Fish, Cheese, Beef, Bread"
15,"Pasta, Rice"
16,"Yogurt, Butter"
17,"Butter, Bananas, Chips, Apples"
18,"Rice, Yogurt, Eggs, Cheese, Apples, Fish"
19,"Chicken, Cereal"
20,"Juice, Chips, Milk, Eggs, Soap, Beef"
21,"Rice, Juice, Yogurt, Cereal, Tomatoes"
22,"Soap, Milk, Fish"
23,"Cheese, Bananas, Tomatoes"
24,"Cookies, Bread, Rice, Milk"
25,"Butter, Cookies, Soap, Bread, Apples"
26,"Bread, Milk, Tomatoes"
27,"Yogurt, Bread, Cookies, Shampoo, Cereal"
28,"Bananas, Apples, Juice, Fish, Pasta"
29,"Juice, Bread, Beef"
30,"Yogurt, Eggs, Apples, Pasta, Chicken, Fish"
31,"Cheese, Beef, Bread"
32,"Pasta, Bread, Milk"
33,"Butter, Milk"
34,"Bread, Soap, Shampoo, Yogurt, Bananas"
35,"Rice, Bananas, Shampoo, Chicken"
36,"Rice, Soap, Tomatoes, Cookies, Bread"
37,"Bananas, Bread, Shampoo"
38,"Cheese, Chicken, Apples"
39,"Bananas, Butter, Fish, Beef, Bread, Tomatoes"
40,"Cereal, Butter"
41,"Eggs, Juice"
42,"Fish, Cookies, Shampoo, Bananas, Bread, Eggs"
43,"Tomatoes, Juice"
44,"Butter, Milk, Rice, Eggs, Cereal"
45,"Soap, Tomatoes"
46,"Juice, Chicken, Cheese, Tomatoes, Butter, Yogurt"
47,"Cereal, Soap, Shampoo, Cookies, Tomatoes, Bread"
48,"Fish, Beef, Cheese, Shampoo, Milk, Juice"
49,"Beef, Rice, Eggs, Chicken, Chips"
50,"Rice, Chicken, Butter"
51,"Cereal, Tomatoes, Eggs"
52,"Chips, Bread"
53,"Juice, Shampoo, Soap"
54,"Juice, Shampoo, Eggs, Tomatoes, Rice, Cereal"
55,"Apples, Shampoo, Yogurt"
56,"Chicken, Beef"
57,"Butter, Chips, Bananas, Fish, Bread"
58,"Fish, Juice, Bananas"
59,"Cookies, Cheese"
60,"Beef, Shampoo, Cereal, Apples"
61,"Chips, Fish"
62,"Bread, Cookies, Rice, Milk, Pasta"
63,"Eggs, Rice, Cookies, Apples"
64,"Tomatoes, Apples, Juice"
65,"Pasta, Butter, Juice, Apples"
66,"Eggs, Tomatoes, Bananas"
67,"Beef, Soap"
68,"Cereal, Beef"
69,"Fish, Soap, Cheese, Chicken, Chips, Pasta"
70,"Cereal, Soap, Milk"
71,"Chips, Cookies, Tomatoes, Bananas"
72,"Cereal, Yogurt, Chips"
73,"Butter, Beef, Tomatoes, Shampoo"
74,"Cereal, Soap, Chips, Fish"
75,"Bananas, Shampoo, Beef, Fish"
76,"Beef, Chips, Juice, Cookies, Cheese"
77,"Butter, Chicken, Beef"
78,"Bananas, Chips, Cheese, Juice, Apples"
79,"Yogurt, Tomatoes, Rice"
80,"Juice, Soap, Butter, Chicken"
81,"Chips, Cookies, Butter"
82,"Bread, Butter, Apples, Shampoo, Tomatoes"
83,"Eggs, Cereal"
84,"Juice, Cheese, Beef, Eggs, Tomatoes, Shampoo"
85,"Chicken, Eggs, Shampoo"
86,"Chips, Cereal, Apples, Beef"
87,"Butter, Soap, Rice"
88,"Bananas, Juice, Chips"
89,"Cereal, Cheese"
90,"Pasta, Cookies, Butter, Eggs, Cheese"
91,"Pasta, Milk, Fish, Yogurt, Juice"
92,"Rice, Soap, Cereal"
93,"Milk, Chicken, Fish"
94,"Cookies, Cheese, Apples, Cereal"
95,"Apples, Soap, Rice, Juice, Cereal, Pasta"
96,"Soap, Yogurt, Chicken, Apples, Juice"
97,"Chicken, Juice, Cereal"
98,"Juice, Beef, Milk"
99,"Cereal, Eggs, Fish, Apples, Milk, Yogurt"
100,"Rice, Cereal, Cookies"
101,"Bread, Yogurt, Soap, Fish"
102,"Juice, Beef, Chips, Cheese, Cookies"
103,"Cheese, Rice, Bread, Apples, Chips"
104,"Milk, Eggs"
105,"Beef, Eggs, Cookies"
106,"Soap, Yogurt, Shampoo"
107,"Butter, Rice, Cookies, Pasta"
108,"Chicken, Chips, Fish, Apples"
109,"Fish, Chips, Juice"
110,"Tomatoes, Pasta"
111,"Beef, Butter, Chips, Rice"
112,"Butter, Rice, Cereal, Bread, Eggs, Shampoo"
113,"Tomatoes, Juice, Rice"
114,"Rice, Apples, Chips"
115,"Soap, Chicken, Shampoo, Bread, Yogurt, Beef"
116,"Fish, Eggs, Juice, Bananas"
117,"Chicken, Rice"
118,"Juice, Bananas, Shampoo"
119,"Rice, Juice, Bread"
120,"Apples, Milk, Chips, Soap"
121,"Butter, Cereal, Apples"
122,"Cookies, Beef, Pasta, Milk"
123,"Apples, Cheese, Rice, Shampoo, Cookies"
124,"Cookies, Milk, Soap"
125,"Cereal, Apples, Shampoo"
126,"Apples, Yogurt, Cheese"
127,"Cookies, Soap, Rice, Beef, Shampoo, Eggs"
128,"Milk, Juice, Tomatoes, Butter, Chips"
129,"Eggs, Chicken, Chips, Shampoo"
130,"Cookies, Beef, Eggs, Bananas"
131,"Chips, Juice, Cheese, Soap, Fish, Beef"
132,"Milk, Soap, Eggs"
133,"Yogurt, Butter, Shampoo"
134,"Butter, Cheese"
135,"Bananas, Apples, Butter, Juice"
136,"Fish, Shampoo, Apples, Beef, Bananas, Pasta"
137,"Yogurt, Fish, Cereal, Juice, Tomatoes"
138,"Cheese, Rice, Milk, Fish"
139,"Juice, Milk, Bread, Rice, Chips, Beef"
140,"Fish, Shampoo, Bread"
141,"Cookies, Soap"
142,"Cereal, Soap, Chips"
143,"Cereal, Cheese"
144,"Beef, Yogurt"
145,"Bananas, Chips, Cereal, Milk"
146,"Butter, Shampoo, Beef"
147,"Fish, Apples"
148,"Apples, Butter, Pasta"
149,"Bananas, Juice, Cookies, Cheese, Apples, Bread"
150,"Cereal, Rice, Milk, Pasta, Soap"
151,"Bananas, Rice"
152,"Cookies, Milk, Apples, Fish, Tomatoes, Cheese"
153,"Eggs, Bananas, Tomatoes, Cereal, Yogurt, Soap"
154,"Cheese, Juice, Pasta, Beef"
155,"Eggs, Butter, Bread"
156,"Cheese, Shampoo, Eggs"
157,"Cereal, Beef, Juice"
158,"Butter, Bread, Tomatoes, Chicken, Shampoo"
159,"Shampoo, Rice"
160,"Chicken, Shampoo"
161,"Chicken, Rice, Tomatoes, Yogurt"
162,"Bread, Chips, Soap, Shampoo, Cereal"
163,"Chicken, Soap, Butter, Fish, Bananas"
164,"Juice, Apples"
165,"Cereal, Juice, Bananas, Yogurt"
166,"Butter, Eggs, Fish, Cookies"
167,"Bread, Fish, Beef, Chips, Juice, Chicken"
168,"Milk, Chips, Shampoo, Beef, Chicken"
169,"Rice, Chips, Bananas, Fish, Yogurt, Pasta"
170,"Cookies, Chips, Soap, Butter, Bread, Chicken"
171,"Chicken, Bananas, Juice, Tomatoes"
172,"Butter, Bananas, Rice, Cereal, Soap, Juice"
173,"Rice, Soap"
174,"Pasta, Shampoo, Chips, Cereal"
175,"Yogurt, Cookies, Milk, Pasta, Apples, Shampoo"
176,"Yogurt, Chicken, Bananas"
177,"Beef, Chips"
178,"Soap, Milk, Pasta, Cheese, Butter, Tomatoes"
179,"Apples, Milk"
180,"Milk, Pasta, Chips, Tomatoes, Bananas, Beef"
181,"Fish, Apples"
182,"Yogurt, Cereal, Cookies, Bread"
183,"Rice, Juice, Yogurt, Butter, Cheese"
184,"Chicken, Shampoo"
185,"Beef, Tomatoes, Yogurt, Soap, Fish, Juice"
186,"Tomatoes, Rice, Bread, Cereal"
187,"Tomatoes, Juice"
188,"Bread, Cereal, Pasta, Yogurt, Shampoo"
189,"Bananas, Soap"
190,"Yogurt, Shampoo, Butter, Juice, Fish, Eggs"
191,"Rice, Juice, Beef, Butter, Cereal, Shampoo"
192,"Milk, Apples, Bananas, Fish, Shampoo, Cereal"
193,"Pasta, Chicken, Milk, Apples"
194,"Chips, Milk, Bread, Eggs, Soap, Apples"
195,"Eggs, Bananas, Milk, Juice, Yogurt, Cookies"
196,"Yogurt, Chips, Cheese, Shampoo"
197,"Soap, Rice, Apples, Milk, Cereal, Butter"
198,"Yogurt, Soap, Milk, Beef, Bananas"
199,"Chips, Bananas, Cereal"
200,"Apples, Cereal, Yogurt, Shampoo, Cheese, Chips"
201,"Juice, Bananas, Yogurt, Tomatoes"
202,"Chips, Cheese, Rice, Juice"
203,"Beef, Tomatoes, Eggs, Milk, Fish"
204,"Eggs, Cookies, Tomatoes, Rice"
205,"Bananas, Rice, Chicken, Cheese"
206,"Milk, Eggs, Pasta, Cereal, Yogurt"
207,"Bananas, Butter, Rice, Chicken, Chips, Pasta"
208,"Chicken, Bananas, Apples, Fish, Cheese, Cereal"
209,"Tomatoes, Milk, Bananas, Soap, Eggs, Cereal"
210,"Tomatoes, Bread, Soap, Yogurt, Shampoo"
211,"Yogurt, Apples, Beef, Fish, Cereal"
212,"Chicken, Cookies, Rice, Soap"
213,"Butter, Chips, Fish, Chicken, Milk"
214,"Shampoo, Beef, Yogurt"
215,"Apples, Juice"
216,"Milk, Eggs, Cereal"
217,"Butter, Rice, Cheese"
218,"Juice, Soap, Bananas, Cookies, Yogurt"
219,"Yogurt, Bananas, Shampoo, Soap"
220,"Bread, Fish, Yogurt, Cheese, Shampoo"
221,"Juice, Tomatoes"
222,"Pasta, Beef, Rice, Juice, Yogurt, Fish"
223,"Cheese, Shampoo, Apples, Eggs, Beef, Milk"
224,"Beef, Butter, Fish, Pasta, Cereal, Juice"
225,"Apples, Juice, Chips, Rice, Cheese, Butter"
226,"Butter, Chicken, Fish, Cookies, Yogurt, Rice"
227,"Butter, Shampoo, Rice, Bananas"
228,"Cereal, Rice, Chicken, Shampoo"
229,"Cookies, Bread, Pasta"
230,"Soap, Chips, Bananas"
231,"Eggs, Beef"
232,"Tomatoes, Soap, Milk"
233,"Soap, Eggs"
234,"Chicken, Soap, Rice, Cookies"
235,"Chicken, Bananas, Juice, Cookies, Cheese"
236,"Bread, Yogurt, Eggs"
237,"Chicken, Beef, Cereal, Cheese"
238,"Chips, Rice, Shampoo, Eggs, Cookies"
239,"Beef, Yogurt"
240,"Pasta, Milk, Shampoo, Yogurt, Soap"
241,"Beef, Milk, Chicken, Chips, Cereal"
242,"Chicken, Cookies, Shampoo, Tomatoes"
243,"Chips, Butter, Milk, Chicken"
244,"Tomatoes, Yogurt, Rice, Apples, Bananas, Eggs"
245,"Soap, Rice, Beef, Juice, Cheese"
246,"Apples, Soap, Butter"
247,"Fish, Milk, Apples, Yogurt"
248,"Juice, Pasta, Tomatoes, Chicken, Bananas, Milk"
249,"Bananas, Cookies"
250,"Butter, Milk, Eggs, Juice, Cheese"
251,"Tomatoes, Apples, Beef, Cheese, Pasta, Yogurt"
252,"Chicken, Yogurt, Rice, Fish"
253,"Beef, Butter, Chips"
254,"Yogurt, Eggs, Fish, Rice"
255,"Cookies, Eggs, Tomatoes, Cereal"
256,"Shampoo, Bananas, Cereal, Fish, Beef, Chips"
257,"Apples, Bananas, Rice, Tomatoes"
258,"Milk, Soap, Shampoo, Bread, Apples, Rice"
259,"Cheese, Chicken, Chips, Bread"
260,"Apples, Eggs, Pasta"
261,"Cookies, Beef"
262,"Bananas, Cheese, Fish"
263,"Milk, Chips, Eggs, Rice, Soap"
264,"Beef, Cereal, Juice, Bananas, Chips"
265,"Cheese, Eggs, Butter"
266,"Shampoo, Eggs, Milk"
267,"Eggs, Tomatoes"
268,"Chips, Cereal, Juice, Beef, Yogurt, Butter"
269,"Chicken, Yogurt, Tomatoes, Eggs, Bread"
270,"Soap, Bananas, Bread, Shampoo, Juice"
271,"Bread, Milk, Cookies, Pasta, Bananas"
272,"Milk, Bananas, Juice, Apples"
273,"Chips, Butter, Cheese"
274,"Bread, Butter, Shampoo, Chicken, Apples, Eggs"
275,"Cookies, Cheese, Bananas, Bread, Tomatoes, Shampoo"
276,"Chips, Cereal, Cheese, Fish"
277,"Yogurt, Milk, Bread, Soap, Juice"
278,"Bread, Soap"
279,"Shampoo, Chicken, Beef"
280,"Shampoo, Pasta, Tomatoes"
281,"Rice, Soap, Bread, Apples, Butter"
282,"Chicken, Soap, Cereal, Juice"
283,"Cereal, Rice"
284,"Soap, Chips, Apples, Pasta, Rice"
285,"Milk, Apples, Rice, Fish"
286,"Beef, Juice, Apples, Yogurt, Eggs, Rice"
287,"Eggs, Tomatoes, Apples, Shampoo, Bread"
288,"Tomatoes, Bananas, Cereal"
289,"Shampoo, Apples, Soap, Juice, Eggs, Cookies"
290,"Rice, Pasta, Chips, Shampoo"
291,"Bread, Pasta, Beef, Bananas, Shampoo, Cereal"
292,"Tomatoes, Pasta, Cheese"
293,"Apples, Cheese, Chips, Rice, Chicken"
294,"Chicken, Bananas, Soap, Fish, Beef, Cheese"
295,"Pasta, Tomatoes, Rice, Bread"
296,"Chicken, Tomatoes, Beef"
297,"Shampoo, Fish, Apples, Milk, Juice"
298,"Bread, Eggs, Fish, Apples"
299,"Milk, Soap, Cheese, Shampoo, Pasta, Eggs"
300,"Bread, Tomatoes"
301,"Yogurt, Bananas, Rice, Milk"
302,"Milk, Shampoo, Juice"
303,"Juice, Cheese, Butter"
304,"Apples, Cookies, Tomatoes, Shampoo, Eggs"
305,"Juice, Milk, Fish, Cookies, Yogurt"
306,"Eggs, Yogurt, Shampoo, Cheese"
307,"Cheese, Shampoo, Butter, Milk, Rice"
308,"Cookies, Soap, Chicken"
309,"Eggs, Cereal"
310,"Rice, Beef, Bread, Bananas, Yogurt"
311,"Bread, Milk, Bananas"
312,"Eggs, Yogurt, Chicken"
313,"Juice, Eggs, Cookies, Butter, Pasta, Beef"
314,"Apples, Eggs, Soap, Bananas, Rice"
315,"Cereal, Rice, Tomatoes, Pasta, Soap"
316,"Rice, Juice, Cereal, Soap, Eggs"
317,"Soap, Bread, Tomatoes, Fish"
318,"Milk, Yogurt, Cookies, Eggs, Rice"
319,"Beef, Fish, Cereal, Shampoo, Eggs"
320,"Bananas, Eggs, Rice, Soap, Cheese, Butter"
321,"Soap, Tomatoes, Chips, Pasta, Rice"
322,"Milk, Chicken, Butter"
323,"Fish, Cookies, Bananas, Chips, Chicken"
324,"Milk, Pasta, Eggs, Cereal, Beef"
325,"Bananas, Butter, Soap, Chicken"
326,"Chips, Eggs, Butter, Juice"
327,"Pasta, Milk"
328,"Bananas, Cereal, Eggs, Rice, Butter"
329,"Bread, Pasta, Beef, Chips, Cheese, Juice"
330,"Cereal, Bread"
331,"Juice, Chips, Beef, Yogurt"
332,"Rice, Bread, Yogurt, Juice, Chips"
333,"Chicken, Chips, Milk, Cookies, Bananas"
334,"Pasta, Juice"
335,"Beef, Milk"
336,"Cookies, Chips, Milk, Eggs, Cheese, Juice"
337,"Milk, Chicken, Cookies, Bread, Tomatoes, Rice"
338,"Bananas, Butter, Chips, Tomatoes, Cereal"
339,"Butter, Apples, Cheese, Juice"
340,"Juice, Soap, Pasta"
341,"Bread, Butter"
342,"Fish, Butter"
343,"Beef, Bananas, Soap, Butter, Cookies"
344,"Beef, Chicken, Soap, Cookies"
345,"Apples, Pasta"
346,"Bananas, Chips, Shampoo, Butter, Beef"
347,"Bananas, Rice, Yogurt, Eggs, Cheese"
348,"Bananas, Cheese, Bread, Apples, Yogurt, Shampoo"
349,"Butter, Eggs, Soap, Tomatoes, Pasta, Yogurt"
350,"Tomatoes, Apples"
351,"Cheese, Cereal, Butter, Juice"
352,"Butter, Chips, Yogurt, Fish, Pasta, Milk"
353,"Apples, Soap, Fish, Rice, Cereal, Shampoo"
354,"Cheese, Apples, Butter"
355,"Milk, Juice, Apples, Chips, Rice, Cereal"
356,"Juice, Cookies, Bananas, Cereal, Apples"
357,"Bread, Cheese, Fish, Bananas, Cereal"
358,"Bananas, Shampoo, Cereal"
359,"Butter, Chicken, Apples, Rice, Soap"
360,"Milk, Butter, Tomatoes, Eggs"
361,"Yogurt, Juice, Soap, Cereal"
362,"Fish, Cereal, Bananas, Milk"
363,"Apples, Pasta, Eggs, Yogurt, Cookies, Juice"
364,"Apples, Cereal, Fish"
365,"Tomatoes, Shampoo, Juice"
366,"Yogurt, Bread, Soap, Butter, Fish"
367,"Soap, Juice, Rice, Pasta, Chicken, Cookies"
368,"Juice, Chips, Fish, Soap, Cheese, Yogurt"
369,"Shampoo, Pasta, Rice, Cereal, Cookies"
370,"Chicken, Pasta, Eggs, Butter, Cereal"
371,"Chicken, Shampoo, Cheese, Chips, Butter, Cereal"
372,"Fish, Cheese"
373,"Cereal, Tomatoes, Chips, Cheese, Bread"
374,"Cheese, Shampoo, Bananas"
375,"Chicken, Fish, Cheese"
376,"Shampoo, Chips"
377,"Beef, Chips, Apples, Pasta, Cheese, Eggs"
378,"Shampoo, Rice, Fish, Bananas"
379,"Bread, Apples"
380,"Juice, Cereal, Bread"
381,"Beef, Cereal, Soap, Rice, Shampoo"
382,"Bananas, Fish, Butter, Shampoo"
383,"Tomatoes, Cheese"
384,"Pasta, Chips, Apples"
385,"Bread, Juice, Apples, Beef"
386,"Soap, Bananas, Fish"
387,"Butter, Juice"
388,"Pasta, Soap, Butter, Tomatoes, Shampoo"
389,"Cereal, Tomatoes, Soap, Cookies, Butter, Shampoo"
390,"Bananas, Butter"
391,"Bread, Pasta, Chicken, Juice, Shampoo, Beef"
392,"Bananas, Cereal, Tomatoes, Apples, Beef, Soap"
393,"Milk, Butter, Beef, Pasta, Shampoo, Yogurt"
394,"Bread, Bananas, Tomatoes, Shampoo, Apples"
395,"Yogurt, Butter"
396,"Yogurt, Cereal, Rice, Beef, Fish"
397,"Soap, Chips, Eggs, Rice"
398,"Cheese, Chips, Eggs, Milk, Fish, Shampoo"
399,"Apples, Cereal"
400,"Rice, Beef, Juice, Pasta, Bananas"
401,"Rice, Beef, Cookies, Milk, Fish"
402,"Eggs, Cheese, Milk"
403,"Beef, Tomatoes, Rice, Soap"
404,"Juice, Apples"
405,"Shampoo, Beef"
406,"Beef, Tomatoes, Pasta, Chips, Fish, Bread"
407,"Juice, Soap, Bananas, Apples, Eggs, Rice"
408,"Rice, Cookies"
409,"Eggs, Chips"
410,"Juice, Chips, Soap, Beef"
411,"Pasta, Fish, Apples, Rice, Eggs"
412,"Beef, Yogurt, Cookies, Milk"
413,"Beef, Shampoo, Bananas, Juice, Apples"
414,"Bread, Tomatoes, Milk"
415,"Chicken, Butter, Pasta, Milk, Tomatoes"
416,"Cookies, Chicken, Juice, Eggs, Shampoo"
417,"Cheese, Fish"
418,"Yogurt, Soap, Milk"
419,"Eggs, Cereal, Beef, Bread, Butter"
420,"Shampoo, Yogurt"
421,"Butter, Bananas, Yogurt, Tomatoes, Cheese, Apples"
422,"Cereal, Shampoo, Milk, Fish"
423,"Pasta, Bread, Juice, Beef, Butter"
424,"Shampoo, Beef, Yogurt, Milk, Cereal"
425,"Beef, Cheese, Pasta, Fish, Juice"
426,"Pasta, Soap, Fish, Eggs, Cookies, Tomatoes"
427,"Pasta, Cereal, Cheese, Eggs, Milk, Rice"
428,"Cheese, Bread, Rice"
429,"Soap, Chicken"
430,"Yogurt, Cookies, Pasta"
431,"Milk, Apples, Fish, Cookies, Soap, Beef"
432,"Juice, Rice, Pasta, Cereal, Milk"
433,"Cheese, Cereal, Eggs, Butter, Soap"
434,"Chips, Eggs, Juice, Pasta, Beef, Rice"
435,"Apples, Beef, Bananas, Shampoo, Chicken, Milk"
436,"Tomatoes, Soap, Milk, Cookies, Chips, Eggs"
437,"Soap, Bananas, Rice, Cereal, Milk, Chips"
438,"Chicken, Cereal, Soap"
439,"Cheese, Chips, Eggs, Bananas, Bread"
440,"Chicken, Pasta, Cookies, Rice, Cereal, Apples"
441,"Pasta, Beef, Cereal, Tomatoes, Bananas, Chicken"
442,"Rice, Cookies, Eggs"
443,"Cheese, Fish, Milk, Cereal, Juice, Soap"
444,"Apples, Butter"
445,"Cookies, Juice"
446,"Bananas, Shampoo"
447,"Pasta, Bread"
448,"Pasta, Chips"
449,"Beef, Apples, Butter, Chips"
450,"Cookies, Juice, Cheese, Chicken"
451,"Rice, Milk"
452,"Fish, Eggs, Soap, Milk, Tomatoes"
453,"Milk, Soap, Shampoo"
454,"Cheese, Cookies, Bananas, Yogurt, Butter"
455,"Cookies, Rice"
456,"Milk, Cookies"
457,"Rice, Yogurt"
458,"Shampoo, Pasta, Juice, Soap, Bananas"
459,"Shampoo, Cheese, Fish, Beef"
460,"Cheese, Butter"
461,"Cereal, Pasta, Eggs, Rice, Juice, Milk"
462,"Pasta, Butter"
463,"Butter, Fish, Milk, Juice, Bread"
464,"Yogurt, Rice, Juice, Apples, Chicken"
465,"Bread, Cookies, Milk, Yogurt"
466,"Cheese, Bananas, Tomatoes, Rice, Cookies, Apples"
467,"Tomatoes, Pasta, Bread, Fish, Milk, Chips"
468,"Chicken, Milk"
469,"Rice, Milk, Eggs, Cookies"
470,"Cheese, Soap"
471,"Pasta, Shampoo, Cereal, Apples"
472,"Apples, Pasta, Tomatoes, Soap, Chicken"
473,"Bananas, Rice, Cookies, Shampoo, Apples"
474,"Pasta, Cheese, Soap, Juice"
475,"Tomatoes, Bread"
476,"Beef, Tomatoes, Cereal"
477,"Milk, Fish, Cheese, Tomatoes, Chicken, Juice"
478,"Bananas, Yogurt, Chicken, Beef, Milk"
479,"Bread, Cheese"
480,"Rice, Butter, Shampoo, Beef, Tomatoes, Cookies"
481,"Apples, Cheese, Chips"
482,"Fish, Yogurt"
483,"Rice, Beef, Soap, Bread, Cheese"
484,"Eggs, Bread, Butter, Bananas"
485,"Beef, Apples, Butter, Bread, Rice, Cheese"
486,"Cheese, Milk"
487,"Cereal, Soap, Pasta, Chips, Milk, Chicken"
488,"Apples, Shampoo"
489,"Shampoo, Yogurt, Tomatoes, Butter, Cereal, Apples"
490,"Beef, Yogurt, Bananas"
491,"Chicken, Chips, Pasta, Butter, Yogurt"
492,"Tomatoes, Chicken, Pasta, Fish, Rice, Cheese"
493,"Milk, Cereal"
494,"Butter, Cereal, Bread, Apples"
495,"Rice, Bananas, Eggs, Fish, Cheese, Chicken"
496,"Cereal, Apples, Fish, Butter, Cookies"
497,"Cereal, Bread, Soap, Shampoo, Chips, Cookies"
498,"Yogurt, Chips, Bread, Chicken, Cookies"
499,"Shampoo, Tomatoes, Butter"
500,"Shampoo, Apples, Pasta, Cookies, Chicken, Cheese"
